idTicket,Área,id_soporte,fecha_hora_apertura,fecha_hora_asignación,fecha_hora_cierre
1,Alumnos,S1,2024-09-01 09:00:00,2024-09-01 09:00:00.000000,2024-09-01 09:25:17.030344
2,Alumnos,S2,2024-09-01 09:08:24,2024-09-01 09:08:24.000000,2024-09-01 09:30:43.714623
3,Alumnos,S3,2024-09-01 09:15:16,2024-09-01 09:15:16.000000,2024-09-01 09:37:11.816082
4,Alumnos,S1,2024-09-01 09:25:46,2024-09-01 09:25:46.000000,2024-09-01 09:51:15.920632
5,Alumnos,S2,2024-09-01 09:28:07,2024-09-01 09:30:59.714623,2024-09-01 09:57:58.182243
6,Gestión Académica,S4,2024-09-01 09:41:43,2024-09-01 09:41:43.000000,2024-09-01 09:59:18.355761
7,Gestión Académica,S5,2024-09-01 09:43:00,2024-09-01 09:43:00.000000,2024-09-01 09:47:05.713843
8,Alumnos,S3,2024-09-01 09:45:21,2024-09-01 09:45:21.000000,2024-09-01 10:10:36.537662
9,Alumnos,S1,2024-09-01 09:56:11,2024-09-01 09:56:11.000000,2024-09-01 10:20:57.335970
10,Alumnos,S2,2024-09-01 10:02:39,2024-09-01 10:02:39.000000,2024-09-01 10:35:26.545274
11,Alumnos,S3,2024-09-01 10:14:55,2024-09-01 10:14:55.000000,2024-09-01 10:33:29.061909
12,Alumnos,S1,2024-09-01 10:32:25,2024-09-01 10:32:25.000000,2024-09-01 10:56:47.533564
13,Alumnos,S3,2024-09-01 10:34:49,2024-09-01 10:34:49.000000,2024-09-01 10:51:28.512088
14,Alumnos,S2,2024-09-01 10:40:55,2024-09-01 10:40:55.000000,2024-09-01 11:04:19.923488
15,Alumnos,S3,2024-09-01 10:46:50,2024-09-01 10:51:35.512088,2024-09-01 11:22:24.846425
16,Gestión Académica,S6,2024-09-01 10:52:55,2024-09-01 10:52:55.000000,2024-09-01 11:10:57.512669
17,Alumnos,S1,2024-09-01 10:54:55,2024-09-01 10:57:15.533564,2024-09-01 11:23:28.448768
18,Alumnos,S2,2024-09-01 11:02:45,2024-09-01 11:04:46.923488,2024-09-01 11:34:29.319218
19,Alumnos,S3,2024-09-01 11:22:07,2024-09-01 11:22:30.846425,2024-09-01 11:40:10.340513
20,Alumnos,S1,2024-09-01 11:34:58,2024-09-01 11:34:58.000000,2024-09-01 11:52:54.756132
